This is an id mapping for `BaseMod_NativeFunctionsApi::PlayCommonSoundEffect`
The map can be found in game memory at GGXXACPR_Win.exe+571CA0 (build id: 12866140)

Given Id / COMMON SE Id
0	0
1	0
2	1
3	2
4	3
5	4
6	5
7	6
8	7
9	8
10	9
11	10
12	11
13	12
14	13
15	0
16	14
17	15
18	16
19	17
20	18
21	19
22	20
23	24
24	21
25	22
26	23
27	25
28	26
29	27
30	28
31	29
32	30
33	31
34	32
35	33
36	34
37	35
38	36
39	37
40	38
41	39
42	40
43	41
44	42
45	43
46	44
47	45
48	46
49	47
50	48
51	49
52	50
53	51
54	52
55	53
56	0
57	54
58	0
59	55
60	67
61	68
62	69
63	70
64	71
65	72
66	73
67	74
68	75
69	76
70	77
71	78
72	79
73	80
74	81
75	82
76	83
77	84
78	85
79	86
80	87
81	88
82	89
83	90
84	91
85	92
86	93
87	94
88	95
89	96
90	97
91	98
92	99
93	101
94	102
95	103
96	104
97	105
98	56
99	57
100	58
101	59
102	60
103	61
104	62
